anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3,produccion_mes_anterior,produccion_dos_meses_antes,promedio_3_meses,variacion_mes_anterior
2009,4,2009-04,Chubut,Producción convencional,287463.9808,293367.4051,264674.0047,280048.57276666665,28693.400399999984
2009,5,2009-05,Chubut,Producción convencional,300840.2314,287463.9808,293367.4051,281835.1302,-5903.424299999955
2009,6,2009-06,Chubut,Producción convencional,294138.6128,300840.2314,287463.9808,293890.5391,13376.25059999997
2009,7,2009-07,Chubut,Producción convencional,304828.4822,294138.6128,300840.2314,294147.60833333334,-6701.618599999987
2009,8,2009-08,Chubut,Producción convencional,305871.6603,304828.4822,294138.6128,299935.7754666667,10689.869400000025
2009,9,2009-09,Chubut,Producción convencional,296960.844,305871.6603,304828.4822,301612.91843333334,1043.178099999961
2009,10,2009-10,Chubut,Producción convencional,299115.6903,296960.844,305871.6603,302553.6621666667,-8910.816300000006
2009,11,2009-11,Chubut,Producción convencional,284825.6169,299115.6903,296960.844,300649.3982,2154.846300000034
2009,12,2009-12,Chubut,Producción convencional,294311.5651,284825.6169,299115.6903,293634.0504,-14290.073399999994
2010,1,2010-01,Chubut,Producción convencional,294997.3366,294311.5651,284825.6169,292750.95743333333,9485.948199999984
2010,2,2010-02,Chubut,Producción convencional,268878.3468,294997.3366,294311.5651,291378.1728666667,685.7714999999735
2010,3,2010-03,Chubut,Producción convencional,291287.6964,268878.3468,294997.3366,286062.41616666666,-26118.98979999998
2010,4,2010-04,Chubut,Producción convencional,269495.9717,291287.6964,268878.3468,285054.45993333333,22409.349600000016
2010,5,2010-05,Chubut,Producción convencional,304477.9186,269495.9717,291287.6964,276554.0049666667,-21791.72470000002
2010,6,2010-06,Chubut,Producción convencional,298821.12003,304477.9186,269495.9717,288420.52890000003,34981.94689999998
2010,7,2010-07,Chubut,Producción convencional,307121.01555,298821.12003,304477.9186,290931.67011,-5656.7985699999845
2010,8,2010-08,Chubut,Producción convencional,304598.58737,307121.01555,298821.12003,303473.35139333335,8299.89552000002
2010,9,2010-09,Chubut,Producción convencional,288696.62249,304598.58737,307121.01555,303513.57431666664,-2522.428179999988
2010,10,2010-10,Chubut,Producción convencional,304603.26684,288696.62249,304598.58737,300138.74180333334,-15901.964880000043
2010,11,2010-11,Chubut,Producción convencional,288575.84471,304603.26684,288696.62249,299299.49223333335,15906.644350000017
2010,12,2010-12,Chubut,Producción convencional,281943.24343,288575.84471,304603.26684,293958.5780133333,-16027.42213000002
2011,1,2011-01,Chubut,Producción convencional,296229.81427,281943.24343,288575.84471,291707.45165999996,-6632.601280000003
2011,2,2011-02,Chubut,Producción convencional,264539.11109,296229.81427,281943.24343,288916.3008033333,14286.57084
2011,3,2011-03,Chubut,Producción convencional,291536.66058,264539.11109,296229.81427,280904.05626333336,-31690.703179999953
2011,4,2011-04,Chubut,Producción convencional,279405.41605,291536.66058,264539.11109,284101.86198,26997.549490000005
2011,5,2011-05,Chubut,Producción convencional,286082.96626,279405.41605,291536.66058,278493.72924,-12131.244530000025
2011,6,2011-06,Chubut,Producción convencional,289228.02545,286082.96626,279405.41605,285675.01429666666,6677.550210000016
