anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3
2009,1,2009-01,Chubut,Producción convencional,282104.3085
2009,1,2009-01,Chubut,Shale gas,0
2009,1,2009-01,Chubut,Tight gas,0
2009,1,2009-01,Estado Nacional,Producción convencional,141411.120
2009,1,2009-01,Estado Nacional,Shale gas,0
2009,1,2009-01,Estado Nacional,Tight gas,0
2009,1,2009-01,Formosa,Producción convencional,3174.09
2009,1,2009-01,Formosa,Shale gas,0
2009,1,2009-01,Formosa,Tight gas,0
2009,1,2009-01,Jujuy,Producción convencional,425.16
2009,1,2009-01,Jujuy,Shale gas,0
2009,1,2009-01,Jujuy,Tight gas,0
2009,1,2009-01,La Pampa,Producción convencional,31245.956
2009,1,2009-01,La Pampa,Shale gas,0
2009,1,2009-01,La Pampa,Tight gas,0
2009,1,2009-01,Mendoza,Producción convencional,199738.996000
2009,1,2009-01,Mendoza,Shale gas,0
2009,1,2009-01,Mendoza,Tight gas,0
2009,1,2009-01,Neuquén,Producción convencional,1959452.200863
2009,1,2009-01,Neuquén,Shale gas,940.709
2009,1,2009-01,Neuquén,Tight gas,71311.77425
2009,1,2009-01,Rio Negro,Producción convencional,59836.531000
2009,1,2009-01,Rio Negro,Shale gas,0
2009,1,2009-01,Rio Negro,Tight gas,12625.72
2009,1,2009-01,Salta,Producción convencional,537176.856
2009,1,2009-01,Salta,Shale gas,0
2009,1,2009-01,Salta,Tight gas,0
2009,1,2009-01,San Juan,Producción convencional,0
2009,1,2009-01,San Juan,Shale gas,0
2009,1,2009-01,San Juan,Tight gas,0
2009,1,2009-01,Santa Cruz,Producción convencional,421645.58581
2009,1,2009-01,Santa Cruz,Shale gas,0
2009,1,2009-01,Santa Cruz,Tight gas,3801.043
2009,1,2009-01,Tierra del Fuego,Producción convencional,343023.285
2009,1,2009-01,Tierra del Fuego,Shale gas,0
2009,1,2009-01,Tierra del Fuego,Tight gas,0
2009,2,2009-02,Chubut,Producción convencional,264674.0047
2009,2,2009-02,Chubut,Shale gas,0
2009,2,2009-02,Chubut,Tight gas,0
2009,2,2009-02,Estado Nacional,Producción convencional,144221.043
2009,2,2009-02,Estado Nacional,Shale gas,0
2009,2,2009-02,Estado Nacional,Tight gas,0
2009,2,2009-02,Formosa,Producción convencional,2732.33
2009,2,2009-02,Formosa,Shale gas,0
2009,2,2009-02,Formosa,Tight gas,0
2009,2,2009-02,Jujuy,Producción convencional,358.93
2009,2,2009-02,Jujuy,Shale gas,0
2009,2,2009-02,Jujuy,Tight gas,0
2009,2,2009-02,La Pampa,Producción convencional,33868.400
2009,2,2009-02,La Pampa,Shale gas,0
2009,2,2009-02,La Pampa,Tight gas,0
2009,2,2009-02,Mendoza,Producción convencional,188007.675704
2009,2,2009-02,Mendoza,Shale gas,0
2009,2,2009-02,Mendoza,Tight gas,0
2009,2,2009-02,Neuquén,Producción convencional,1740679.613910
2009,2,2009-02,Neuquén,Shale gas,668.866
2009,2,2009-02,Neuquén,Tight gas,67654.77709
2009,2,2009-02,Rio Negro,Producción convencional,54915.318000
2009,2,2009-02,Rio Negro,Shale gas,0
2009,2,2009-02,Rio Negro,Tight gas,11457.313
2009,2,2009-02,Salta,Producción convencional,497428.379
2009,2,2009-02,Salta,Shale gas,0
2009,2,2009-02,Salta,Tight gas,0
2009,2,2009-02,San Juan,Producción convencional,0
2009,2,2009-02,San Juan,Shale gas,0
2009,2,2009-02,San Juan,Tight gas,0
2009,2,2009-02,Santa Cruz,Producción convencional,392547.0053
2009,2,2009-02,Santa Cruz,Shale gas,0
2009,2,2009-02,Santa Cruz,Tight gas,3925.393
2009,2,2009-02,Tierra del Fuego,Producción convencional,316192.464
2009,2,2009-02,Tierra del Fuego,Shale gas,0
2009,2,2009-02,Tierra del Fuego,Tight gas,0
2009,3,2009-03,Chubut,Producción convencional,293367.4051
2009,3,2009-03,Chubut,Shale gas,0
2009,3,2009-03,Chubut,Tight gas,0
2009,3,2009-03,Estado Nacional,Producción convencional,167263.628
2009,3,2009-03,Estado Nacional,Shale gas,0
2009,3,2009-03,Estado Nacional,Tight gas,0
2009,3,2009-03,Formosa,Producción convencional,2993.47
2009,3,2009-03,Formosa,Shale gas,0
2009,3,2009-03,Formosa,Tight gas,0
2009,3,2009-03,Jujuy,Producción convencional,396.46000000000
2009,3,2009-03,Jujuy,Shale gas,0
2009,3,2009-03,Jujuy,Tight gas,0
2009,3,2009-03,La Pampa,Producción convencional,39427.771
2009,3,2009-03,La Pampa,Shale gas,0
2009,3,2009-03,La Pampa,Tight gas,0
2009,3,2009-03,Mendoza,Producción convencional,208673.843626000
2009,3,2009-03,Mendoza,Shale gas,0
2009,3,2009-03,Mendoza,Tight gas,0
2009,3,2009-03,Neuquén,Producción convencional,2003700.8774340000
2009,3,2009-03,Neuquén,Shale gas,691.808
2009,3,2009-03,Neuquén,Tight gas,77908.28464
2009,3,2009-03,Rio Negro,Producción convencional,60720.90000000
2009,3,2009-03,Rio Negro,Shale gas,0
2009,3,2009-03,Rio Negro,Tight gas,13132.915
2009,3,2009-03,Salta,Producción convencional,538081.692
2009,3,2009-03,Salta,Shale gas,0
2009,3,2009-03,Salta,Tight gas,0
2009,3,2009-03,San Juan,Producción convencional,0
2009,3,2009-03,San Juan,Shale gas,0
2009,3,2009-03,San Juan,Tight gas,0
2009,3,2009-03,Santa Cruz,Producción convencional,432556.8235
2009,3,2009-03,Santa Cruz,Shale gas,0
2009,3,2009-03,Santa Cruz,Tight gas,4658.371
2009,3,2009-03,Tierra del Fuego,Producción convencional,352623.0990
2009,3,2009-03,Tierra del Fuego,Shale gas,0
2009,3,2009-03,Tierra del Fuego,Tight gas,0
2009,4,2009-04,Chubut,Producción convencional,287463.98080
2009,4,2009-04,Chubut,Shale gas,0
2009,4,2009-04,Chubut,Tight gas,0
2009,4,2009-04,Estado Nacional,Producción convencional,196453.316
2009,4,2009-04,Estado Nacional,Shale gas,0
2009,4,2009-04,Estado Nacional,Tight gas,0
2009,4,2009-04,Formosa,Producción convencional,2967.83
2009,4,2009-04,Formosa,Shale gas,0
2009,4,2009-04,Formosa,Tight gas,0
2009,4,2009-04,Jujuy,Producción convencional,402.240000
2009,4,2009-04,Jujuy,Shale gas,0
2009,4,2009-04,Jujuy,Tight gas,0
2009,4,2009-04,La Pampa,Producción convencional,39129.557
2009,4,2009-04,La Pampa,Shale gas,0
2009,4,2009-04,La Pampa,Tight gas,0
2009,4,2009-04,Mendoza,Producción convencional,205491.8074240000
2009,4,2009-04,Mendoza,Shale gas,0
2009,4,2009-04,Mendoza,Tight gas,0
2009,4,2009-04,Neuquén,Producción convencional,1917769.8109860000
2009,4,2009-04,Neuquén,Shale gas,670.323
2009,4,2009-04,Neuquén,Tight gas,73115.92812
2009,4,2009-04,Rio Negro,Producción convencional,58747.392000
2009,4,2009-04,Rio Negro,Shale gas,0
2009,4,2009-04,Rio Negro,Tight gas,11922.081
2009,4,2009-04,Salta,Producción convencional,477466.147
2009,4,2009-04,Salta,Shale gas,0
2009,4,2009-04,Salta,Tight gas,0
2009,4,2009-04,San Juan,Producción convencional,0
2009,4,2009-04,San Juan,Shale gas,0
2009,4,2009-04,San Juan,Tight gas,0
2009,4,2009-04,Santa Cruz,Producción convencional,434717.50020
2009,4,2009-04,Santa Cruz,Shale gas,0
2009,4,2009-04,Santa Cruz,Tight gas,3523.800
2009,4,2009-04,Tierra del Fuego,Producción convencional,354955.671
2009,4,2009-04,Tierra del Fuego,Shale gas,0
2009,4,2009-04,Tierra del Fuego,Tight gas,0
2009,5,2009-05,Chubut,Producción convencional,300840.2314
2009,5,2009-05,Chubut,Shale gas,0
2009,5,2009-05,Chubut,Tight gas,0
2009,5,2009-05,Estado Nacional,Producción convencional,217286.882
2009,5,2009-05,Estado Nacional,Shale gas,0
2009,5,2009-05,Estado Nacional,Tight gas,0
2009,5,2009-05,Formosa,Producción convencional,3523.80
2009,5,2009-05,Formosa,Shale gas,0
2009,5,2009-05,Formosa,Tight gas,0
2009,5,2009-05,Jujuy,Producción convencional,343.601000
2009,5,2009-05,Jujuy,Shale gas,0
2009,5,2009-05,Jujuy,Tight gas,0
2009,5,2009-05,La Pampa,Producción convencional,40633.372
2009,5,2009-05,La Pampa,Shale gas,0
2009,5,2009-05,La Pampa,Tight gas,0
2009,5,2009-05,Mendoza,Producción convencional,205910.4437070
2009,5,2009-05,Mendoza,Shale gas,0
2009,5,2009-05,Mendoza,Tight gas,0
2009,5,2009-05,Neuquén,Producción convencional,1971056.188203
2009,5,2009-05,Neuquén,Shale gas,788.313
2009,5,2009-05,Neuquén,Tight gas,75424.22214
2009,5,2009-05,Rio Negro,Producción convencional,61251.322000
2009,5,2009-05,Rio Negro,Shale gas,0
2009,5,2009-05,Rio Negro,Tight gas,15018.129
2009,5,2009-05,Salta,Producción convencional,535975.267
2009,5,2009-05,Salta,Shale gas,0
2009,5,2009-05,Salta,Tight gas,0
2009,5,2009-05,San Juan,Producción convencional,0
2009,5,2009-05,San Juan,Shale gas,0
2009,5,2009-05,San Juan,Tight gas,0
2009,5,2009-05,Santa Cruz,Producción convencional,403790.8061
2009,5,2009-05,Santa Cruz,Shale gas,0
2009,5,2009-05,Santa Cruz,Tight gas,1710.675
2009,5,2009-05,Tierra del Fuego,Producción convencional,363054.169
2009,5,2009-05,Tierra del Fuego,Shale gas,0
2009,5,2009-05,Tierra del Fuego,Tight gas,0
2009,6,2009-06,Chubut,Producción convencional,294138.6128
2009,6,2009-06,Chubut,Shale gas,0
2009,6,2009-06,Chubut,Tight gas,0
2009,6,2009-06,Estado Nacional,Producción convencional,229655.665
2009,6,2009-06,Estado Nacional,Shale gas,0
2009,6,2009-06,Estado Nacional,Tight gas,0
2009,6,2009-06,Formosa,Producción convencional,3208.38
2009,6,2009-06,Formosa,Shale gas,0
2009,6,2009-06,Formosa,Tight gas,0
2009,6,2009-06,Jujuy,Producción convencional,345.690000
2009,6,2009-06,Jujuy,Shale gas,0
2009,6,2009-06,Jujuy,Tight gas,0
2009,6,2009-06,La Pampa,Producción convencional,38723.900
2009,6,2009-06,La Pampa,Shale gas,0
2009,6,2009-06,La Pampa,Tight gas,0
2009,6,2009-06,Mendoza,Producción convencional,211262.1682
2009,6,2009-06,Mendoza,Shale gas,0
2009,6,2009-06,Mendoza,Tight gas,0
2009,6,2009-06,Neuquén,Producción convencional,1944060.821250
2009,6,2009-06,Neuquén,Shale gas,833.567
2009,6,2009-06,Neuquén,Tight gas,72940.04769
2009,6,2009-06,Rio Negro,Producción convencional,60289.400000
2009,6,2009-06,Rio Negro,Shale gas,0
2009,6,2009-06,Rio Negro,Tight gas,12914.935
2009,6,2009-06,Salta,Producción convencional,521613.052
2009,6,2009-06,Salta,Shale gas,0
2009,6,2009-06,Salta,Tight gas,0
2009,6,2009-06,San Juan,Producción convencional,0
2009,6,2009-06,San Juan,Shale gas,0
2009,6,2009-06,San Juan,Tight gas,0
2009,6,2009-06,Santa Cruz,Producción convencional,401929.5116
2009,6,2009-06,Santa Cruz,Shale gas,0
2009,6,2009-06,Santa Cruz,Tight gas,2673.996
2009,6,2009-06,Tierra del Fuego,Producción convencional,373160.360
